id;rut;nombre;sexo;edad;clasificacion
0;15286948-7;Corban Stacey;hombre;31;repartidor
1;13993032-0;Summer Clements;hombre;29;repartidor
2;10348170-8;Sia Begum;mujer;27;repartidor
3;46088353-9;Rochelle Cain;hombre;27;repartidor
4;20180335-7;Ollie Morrow;hombre;27;repartidor
5;37630974-6;Frederic Brooks;mujer;44;ti
6;66540267-3;Aadam Dunlop;hombre;30;repartidor
7;45631604-2;Jareth Castillo;mujer;52;ti
8;80885102-4;Alesha Roth;hombre;19;repartidor
9;22587614-2;Khia Kline;mujer;22;repartidor
10;29728267-0;Clayton Golden;mujer;27;administracion
11;79029236-7;Toni Morris;hombre;25;repartidor
12;95435510-1;Rahul Horne;mujer;20;repartidor
13;61662429-6;Wyatt Stephens;mujer;33;vendedor
14;92931585-5;Dulcie Kearns;hombre;29;repartidor
15;55994808-k;Imogen Wills;hombre;22;repartidor
16;63688364-6;Marianne Mays;mujer;47;asistente de aseo
17;95185947-8;Florrie Pacheco;hombre;29;vendedor
18;84964932-9;Jaidon Gay;mujer;36;repartidor
19;54106148-7;Clay Huynh;mujer;18;vendedor
20;56781936-1;Alisa Carpenter;hombre;39;repartidor
21;99116865-6;Darcie-Mae Hutton;hombre;37;repartidor
22;54178021-1;Tyrese Bishop;mujer;29;administracion
23;68035652-1;Nyah Croft;mujer;20;repartidor
24;83131309-9;Evie-Grace Hayden;hombre;39;repartidor
25;57078757-8;Katie Yoder;hombre;34;repartidor
26;78166652-1;Ottilie Campos;mujer;28;repartidor
27;32359787-1;Jasper Harvey;mujer;54;vendedor
28;12460058-8;Gabija Norton;hombre;19;repartidor
29;85594953-9;Alexandra Naylor;mujer;19;repartidor
30;35776394-0;Francis Luna;mujer;46;ti
31;44171043-7;Mahi Vargas;hombre;28;administracion
32;24945173-8;Jonny Cortes;mujer;25;repartidor
33;14377401-5;Ari Tomlinson;hombre;24;repartidor
34;54801563-4;Cem Buckley;hombre;30;repartidor
35;61514910-1;Roisin Contreras;mujer;22;administracion
36;77020926-9;Uma Morales;mujer;19;repartidor
37;21924647-1;Shamima Wormald;mujer;19;repartidor
38;58000701-5;Eleasha Craig;hombre;24;repartidor
39;76160177-6;Caitlyn Mckenzie;mujer;28;repartidor
40;38317707-3;Romilly Heath;hombre;26;repartidor
41;59089616-0;Jordi Thorne;mujer;57;asistente de aseo
42;94123958-7;Malaki Wiggins;hombre;22;repartidor
43;85394005-4;Adela Cordova;hombre;21;repartidor
44;33298524-8;Alys Schwartz;mujer;36;repartidor
45;40588157-8;Jill Baker;hombre;57;ti
46;62820832-8;Jad Mercer;mujer;20;administracion
47;61995722-9;Darla Childs;hombre;21;administracion
48;60211995-5;Manav Hampton;hombre;34;ti
49;51667797-k;Vijay Palacios;mujer;20;repartidor
50;74357811-2;Laith Paul;mujer;49;asistente de aseo
51;76356563-7;Samirah O'Brien;mujer;38;repartidor
52;99837067-1;Charlie Rahman;mujer;22;repartidor
53;28060713-4;Eoin Sosa;hombre;29;repartidor
54;15614052-k;Teddie Leal;mujer;34;asistente de aseo
55;83917354-7;Dillon Reeves;mujer;34;repartidor
56;27852199-0;Alasdair Lucas;hombre;56;vendedor
57;74895468-6;Sabah Skinner;hombre;46;vendedor
58;81559564-5;Harriett Castillo;mujer;24;repartidor
59;63459997-5;Macauley Davison;mujer;32;repartidor
60;45717384-9;Reginald Tanner;mujer;36;ti
61;55012555-2;Kacy Stubbs;hombre;28;repartidor
62;22274441-5;Timothy Senior;mujer;29;asistente de aseo
63;33090056-3;Annabelle Stephens;hombre;35;repartidor
64;25342278-5;Codie Sampson;mujer;24;administracion
65;60574488-5;Quinn Munro;mujer;29;repartidor
66;65855526-k;Ethel Colon;hombre;50;asistente de aseo
67;55326528-2;Haley Bonilla;hombre;19;repartidor
68;31690607-9;Afsana Roth;hombre;21;asistente de aseo
69;13938471-7;Loki Snyder;mujer;45;administracion
70;12957899-8;Milena Bright;hombre;37;vendedor
71;33572631-6;Oliwia Livingston;mujer;27;repartidor
72;34966889-0;Anne Bray;mujer;27;repartidor
73;47377094-6;Alexandria Garrison;hombre;30;repartidor
74;46187096-1;Awais Berger;mujer;39;vendedor
75;26635765-6;Braiden Hoover;hombre;28;repartidor
76;79446327-1;Charlene Chester;hombre;38;administracion
77;18969557-8;Simone Akhtar;hombre;53;administracion
78;21840388-3;Andrea Chen;hombre;51;ti
79;69265725-k;Yisroel O'Neill;mujer;19;repartidor
80;47673879-2;Arwen Flores;hombre;34;ti
